IDP Drought,SPI ,Food Prices,Livestock Prices,Water Prices,fatalities
1119,1.61061317214635,33.0964739506541,0.0016981748409167,1.04232024385692,25
1151,1.61127410660902,33.1538951806638,0.0016476501332187,1.02564102564103,34
1242,1.64170203998109,33.3002213652408,0.0015790138845607,1.01767907144205,43
695,1.590544147381,33.5354525043849,0.0014922660949425,1.01843438125999,43
1068,1.58406938564291,33.8059125832364,0.0014173218084145,1.0225302978418,24
1201,1.53023693765296,34.0579255869354,0.001384096069027,1.02459016393443,15
1270,1.48094247485816,34.2914915154819,0.00139258887678,1.02461397953788,6
1068,1.38864638812394,34.5066103688758,0.0014428002316734,1.02260174465216,11
993,0.994484690687918,34.7152340493089,0.0015241038014925,1.01870209044003,6
833,0.370541998411965,34.9890739699319,0.0015727415929491,1.01380680387806,34
703,0.164344539333724,35.3400820329365,0.0015780872738283,1.00806451612903,44
784,0.291842386247392,35.7682582383227,0.0015401408441302,1.00147522719293,41
338,-0.529922593419538,36.2736025860905,0.0014589023038548,0.99403893706977,44
500,-0.466357961868303,36.7468301532414,0.0013765427257116,0.993615436476237,18
477,-0.91868173563129,37.0786560167767,0.0013352331824101,1.00806451612903,8
414,-0.956776533958829,37.2690801766964,0.0013349736739503,1.03738617602816,6
707,-0.792669179125933,37.3181026330005,0.0013757642003323,1.08158041617361,3
819,-0.739615221054073,37.1760855534743,0.0014248122141637,1.13941993210323,1
902,-0.601520252935418,36.7933911059027,0.0014493251680522,1.20967741935484,14
856,-0.626096728555511,36.1700192902858,0.0014493030619978,1.29235287792845,14
537,-0.668288090651725,35.3059701066236,0.0014247458960005,1.38744630782405,44
310,-0.737121899432685,34.307459503458,0.0013824321453725,1.48833363814639,43
284,-0.754279701347651,33.8117831720403,0.0013630326619873,1.55527044352387,33
331,-0.814396368075106,33.9251570609123,0.001373325921157,1.58163265306122,33
356,-0.90093715310191,34.6475811700742,0.0014133119228816,1.56742026675846,3
358,-0.975368543511216,35.9790554995258,0.0014829906671612,1.51263328461557,4
611,-1.04632225748432,37.4826794791844,0.0015458263187438,1.47423441147383,1
699,-1.04820238429914,38.7215525389672,0.0015652830423773,1.50918635217448,1
717,-1.11557502969851,39.6956746788743,0.001541360838062,1.61748910671754,4
690,-1.13414894845913,40.4050458989055,0.0014740597057976,1.79914267510299,4
1038,-1.13435374441648,40.8365559218947,0.0014119871521043,1.96872557561323,5
1050,-1.16342565500699,40.9770944706755,0.0014037506835018,2.04081632653061,15
1010,-1.16342565500699,40.8266615452479,0.0014493502999903,2.01541492785515,12
1012,-1.21780030346077,40.385257145612,0.0015487860015697,1.89252137958685,11
1351,-1.21798902226562,39.6715537384553,0.0016897207234129,1.6905801682367,10
1250,-1.32444450455391,38.797586123903,0.0017981320765576,1.52025821287075,0
1247,-1.43270753038244,37.7820267686425,0.0018616829961767,1.4,4
1199,-1.45756619251822,36.6248756726738,0.0018803734822701,1.32980552962445,15
184,-1.23546648115548,35.3261328359971,0.0018542035348379,1.30967480174411,17
397,-0.853638926801043,34.6434822811306,0.0018188101203188,1.30970667299171,17
408,-0.507617505191744,35.3346080305927,0.0018098302051514,1.3,14
393,-0.188777212554871,37.3995100843835,0.0018272637893357,1.28055478276898,6
389,-0.314936397398405,40.8381884425029,0.0018711108728718,1.25137102129864,6
772,-0.347326578380303,44.39665734934,0.0019099634542296,1.22762419815858,7
775,-0.463176943639517,46.820931049284,0.0019124135318789,1.22448979591837,7
875,-0.479856139071365,48.1110095423348,0.0018784611058197,1.24196781457801,19
1025,-0.446563694301294,48.2668928284924,0.001808106176052,1.28005825413751,18
792,-0.389784238301127,47.469446398003,0.0017081229643524,1.33518380781112,17
1476,-0.343907663481816,46.8038631923435,0.0016191568013794,1.38588063488434,16
3012,-0.268136804354898,46.4510087017599,0.0015479819089096,1.42857142857143,5
5625,-0.257132720976793,46.4108829262522,0.0014945982869429,1.46325618887239,4
6010,-0.216523298890919,46.6834858658206,0.0014590059354794,1.48993491578722,4
6977,-0.197311369064112,46.9176170042119,0.0014416833770549,1.48232439548665,9
5505,-0.176646197425862,46.7620758251733,0.0014431091342051,1.41414141414141,5
2900,-0.128097553927782,46.2168623287049,0.0014632832069301,1.28538597175151,5
2373,-0.124122073959657,45.2819765148065,0.0015022055952298,1.09605806831694,5
1264,-0.112595391802522,44.3129183423812,0.0015544781485767,0.906411241540804,0
1158,-0.101219724899652,43.6651877703317,0.0016147027164431,0.776699029126214,0
1006,-0.0969162968876688,43.3387847986582,0.0016828792988289,0.706921431073166,0
749,-0.109499301183849,43.3337094273606,0.0017590078957343,0.697078447381662,1
194,0.356732178748571,43.5600272179743,0.0018356290348821,0.738083790752644,1
165,0.96575906355783,43.4781315397126,0.0018679858826095,0.775419737391776,1
